職缺,公司,薪資,經歷年資,工作內容,條件要求,工具要求,產業別,經歷年資2
大數據分析專業人才,華新麗華股份有限公司,40000.0,經歷不拘,"華新麗華再造工業典範（創新轉型之路）　誠摯邀請您的加入

華新麗華成立於1966年，今年邁入第52年，回首過往的五十年，在見證世界從製造經濟走向知識經濟的同時，華新麗華亦竭盡所能的轉型精進，努力將專業與資源充分運用，創造多元且可持續的發展，期盼能成為經得起時代淬鍊、真正卓越的企業，為社會帶來關鍵、有意義的影響，而這樣的信念與使命華新麗華都必須持守、力行與傳承。 

自90年代起，華新麗華積極在台灣與大陸設廠，以穩健、誠信之企業理念，逐步在兩岸線纜與不銹鋼領域中嶄露頭角；近年來，工業4.0浪潮來襲，是企業提升能力的時代機遇，藉由智能化的推進，我們期望能夠提供具有“匠人”精神的人才一個能夠發揮發光的環境，達成華新麗華在科技應用、精密工程、精實管理、市場導向以及以人為本的企業目標，這其中“匠人”精神更是帶動企業轉型與突破的關鍵。 
　　
匠人，指的是熱愛自己的工作，更不逃避瑕疵與失敗，一心只想著如何改善與追求極致，“用心做事”是他們的人生哲學，並希望將畢生所學傳承下去，這樣的態度稱之為「匠人精神」。我們相信，在各領域中皆有匠人，因此，我們努力尋找在各領域中的匠人，隨著策略工作的推動，發揮所長。

工作內容:
1. 設計、建構數據分析模型，並針對目標進行分析
2. 預測模型系統化
3. 物聯網相關數據分析與應用，交叉分析不同事業蒐集的數據，從中找出並闡述新穎的insight，作為決策的參考依據",未填寫,,其他機械製造修配業,0
AI大數據分析規劃顧問,思華科技有限公司,40000.0,3年以上,"1. 以 C++ / Python 語言開發人工智慧演算法：主要聚焦在機器學習、類神經網路等。 
2. 規劃電子商務產品方向，主要運用機器學習或深度學習方式來解決客戶痛點與開發線上交易商品。
3. 以數據資料庫來分析高風險用戶使用行為，降低客戶風控成本。",1. 具備3年以上主管經驗，可立即組建團隊者優先任用
2. 具規劃產品架構及商品化含圖像內文字識別、AI對話決策的經驗
3. 具電子商務、線上支付相關產業者佳, C++ Python,電腦軟體服務業,3
大數據架構師(K),立展企管顧問有限公司,40000.0,經歷不拘,"1. 熟悉資料處理相關語言如 Python/R, SQL/Hive/Java, Shell script 
2. 熟悉Real-time data API 串接 BI tools (ex: tableau、Power BI) 
3. 熟悉搭建、操作大數據工具 (Spark, Hive, Spark, Spark-streaming, ELK) 
4. 具爬蟲開發、API 數據擷取(Google Analytics , Youtube, Facebook, Wechat等) 經驗者加分 
5. 具Data warehouse 設計與使用 (ex: Redshift, Impala) 經驗者加分 
6. 具數據治理視覺化工具 (NiFi, StreamSets, Airflow) 經驗者加分",未填寫,,人力仲介代徵,0
大數據分析工程師,翔程科技股份有限公司,27000.0,1年以上,"工作內容：
1. 測試產品規格，並執行除錯及法規認證。
3. 設計演算法，並進行擬真與實現。
4. 具有大數據資料解析程式開發能力 
5. 與其他系統開發工作團隊配合 
6. 能獨立作業，抗壓性高

條件要求：
1. 對大數據資料處理及分析有高度興趣者。
2. 熟悉大數據資料訓練與資料庫操作。
3. 熟悉機器學習 (Machine Learning) 相關理論與工具 ( Python/TensorFlow)。
4. 熟悉建置分散式系統或伺服器端程式開發佳。",未填寫,,電腦軟體服務業,1
軟體工程師(大數據),聯策科技股份有限公司,35000.0,1年以上,"1.負責深度學習人臉辨識相關程式應用導入。
2.資料主機與系統建置。
3.應用既有演算法於產品中。
4.與客戶溝通協調處理問題。",1.能處理資料格式轉換的問題。
2.熟悉C#、PYTHON尤佳
3.了解C#與dll串接方式
4.AI相關背景課程, C# C++,其他半導體相關業,1
